"","tau= 0.05","tau= 0.10","tau= 0.15","tau= 0.20","tau= 0.25","tau= 0.30","tau= 0.35","tau= 0.40","tau= 0.45","tau= 0.50","tau= 0.55","tau= 0.60","tau= 0.65","tau= 0.70","tau= 0.75","tau= 0.80","tau= 0.85","tau= 0.90","tau= 0.95"
"(Intercept)",897.565585709876,1583.78727953515,1923.61049899252,2085.34971310159,2222.9472421666,2321.80525691669,2400.96228163396,2484.48215148892,2537.86052525163,2600.28133895029,2651.90231546162,2693.69632687232,2767.77123253574,2838.93453785369,2900.98467414872,2991.07324602996,3081.295062138,3216.76588445675,3343.60604656262
"boy",46.8704522177361,67.7485061252393,84.6170568354655,90.0685091406465,96.263325948459,103.399508852561,105.351458886527,107.430094426378,112.959582144978,118.871510817342,121.326739948537,124.144921028771,127.276444106361,130.03338217771,132.209572759036,135.673678777183,136.207316022509,134.691274792055,133.403588291981
"married",98.7315786720246,75.1294274634277,64.5693823582617,60.0539560611918,57.2161902747465,55.637747308401,55.2202651852359,56.2246345409414,54.8423544626583,51.5840450126632,49.2733676877998,49.3759037885703,50.0551866140179,46.6154145357424,44.6615438194424,48.2801765480425,49.0026084798758,52.5096115618299,45.6435180998767
"black",-318.977259493768,-238.386879106286,-216.695985572414,-202.424921011142,-193.414892457761,-184.298442796878,-183.43611853846,-180.380068601746,-175.633444793123,-174.071757762443,-174.11830198143,-171.514382043531,-169.184077619801,-170.513366385297,-170.556005677073,-166.808573516937,-167.990501358336,-164.535749719646,-162.630687309482
"mom.age",51.5919691560956,44.713280146411,36.8799428563882,35.3310034780787,33.0064547169977,32.1381994677889,32.2053719066936,31.0781744053585,31.8267540207103,32.1498963407768,32.7436601966428,34.3072503421998,33.7493273702125,33.6098404015248,34.4302088833465,33.8041049469007,33.777302787216,32.6434030309802,36.4857905482995
"mom.age2",-0.919594451470494,-0.762069158571686,-0.604782772485486,-0.569007219982042,-0.514114905598414,-0.492162559267436,-0.485847824930976,-0.459895783656157,-0.463328934274304,-0.461081275006728,-0.465489186977433,-0.487621126999728,-0.471540754216003,-0.46408766736492,-0.471957841363991,-0.453494538416211,-0.44295465038087,-0.415923943354784,-0.451282500826927
"ed.hs",16.0121887692988,13.8048439513583,15.5427713784572,16.5068210108703,18.2736319415261,19.5766560454644,18.2519753132463,17.30071121221,15.7162364950857,13.2931032570344,14.1392451302107,12.3661926223974,14.8737631003918,17.2523686702676,18.7230805238192,17.4209811980399,17.3802199704817,15.8552461479343,13.7467106594303
"ed.smcol",34.6162952713296,33.0609485499076,40.0225753205984,35.5763471623395,36.6657402259093,38.0835007419327,35.5105667210495,35.3656363207724,34.2297471987696,30.689907905599,33.4670810650426,32.8002500804662,31.5207542871972,35.7512325185267,32.8125939157452,27.7287003235838,25.0997106664058,24.5217890147531,24.1195469671504
"ed.col",76.3037233707931,53.7148927317797,50.0367934808158,51.6952845125021,50.3655093350322,51.756587518431,47.5747965999901,45.2472173282393,39.8447221179912,35.9697805669236,36.2153572296412,30.0263594872333,26.7794615836833,28.2381554745821,29.6394451746748,25.3163290699565,21.0255968333384,14.2895379969953,-3.04621936656793
"novisit",-489.483597552523,-309.842473891388,-249.696150592465,-217.666082010607,-191.750847734149,-175.663620688857,-173.208041916263,-155.582442668414,-154.72017112826,-145.216295732071,-138.310435223133,-128.827118398417,-138.774590786578,-139.041982797512,-130.319480050978,-129.980703321388,-125.958434219315,-83.1743855161541,-62.8422520222512
"tri2",42.5269163917038,18.3389611957545,12.1026015751057,9.93057659826443,6.17274263627108,1.69665381512704,3.61386392603001,0.22463454094175,-0.0925187604054319,-0.061635325831532,2.43871202101802,3.00026536396596,0.762377617901545,2.23076976837202,3.9576204224851,5.34775565882878,7.99811868477039,7.20248086939152,14.6905766934043
"tri3",142.135241311375,68.3824252809423,44.7041919635442,32.5108068241537,18.5067136429407,18.3083845952486,16.1392798774093,10.3145845293346,9.37291162692911,-0.659495517240712,-0.915922847708039,0.411063190070477,-4.5607030703635,-6.98445896948838,-10.0767988945433,-14.056149533788,-8.56982938996435,-9.8155872094591,-38.6143650972469
"smoke",-181.106863144993,-164.016509417081,-159.338656658337,-155.242208744547,-154.181196485597,-155.951038150263,-156.927545208501,-162.697345731554,-166.629782598124,-167.468056576317,-165.123194370186,-167.178603440111,-164.035901909864,-161.204215216082,-168.454795491795,-164.663422620647,-159.616863229968,-169.148040537937,-179.72185085333
"cigsper",-4.15655287747889,-4.79616395977402,-5.19252395165825,-4.70071087705661,-4.61958947894827,-4.55078680764137,-4.33225721211244,-3.77454558542758,-3.58252014365922,-3.58122670757187,-3.61386032201265,-3.45794249630366,-3.63448797039886,-3.84608891984273,-3.42789190592633,-3.51178578604584,-3.63859468555088,-3.16909417770858,-3.18378830699677
"m.wtgain",39.7388508119979,21.1835895032274,15.2261115411593,12.7929312262787,10.7858431937095,9.3461521002076,8.20453779050103,7.46438171148035,6.79930641421579,5.9782742795172,5.49659232107616,5.13161069622632,4.35106720361804,3.75308270520769,3.16901794619255,2.25201806600239,1.80549198701993,1.12495533655569,0.510185874165128
"m.wtgain2",-0.34175846518152,-0.145610078717091,-0.0815184570481126,-0.0566530754959703,-0.0340668859114553,-0.0165600748465545,-0.00259185595713923,0.00644815007441422,0.0132114987146177,0.023625420641657,0.0292482908589763,0.0334506329089026,0.04373970797319,0.0513261861784313,0.0596213162372053,0.0740368076772758,0.0818456126812631,0.0948509546322468,0.100878135724627
